record,minute,label,n_beats,rr_mean,rr_std,rr_min,rr_max,rr_range,rr_cv,rmssd,pnn50,hr_mean,rr_skew,rr_kurt,rr_iqr,p_cvhr,p_vlf,p_lf,p_hf,r_cvhr,r_lf,r_hf,lf_hf,p_cvhr_log,peak_hz,edr_resp,edr_cvhr,edr_peak_hz,edr_std,rr_std_ctx1,rr_std_ctx2,rr_std_ctx5,rr_std_delta,rr_cv_ctx1,rr_cv_ctx2,rr_cv_ctx5,rr_cv_delta,rmssd_ctx1,rmssd_ctx2,rmssd_ctx5,rmssd_delta,p_cvhr_log_ctx1,p_cvhr_log_ctx2,p_cvhr_log_ctx5,p_cvhr_log_delta,r_cvhr_ctx1,r_cvhr_ctx2,r_cvhr_ctx5,r_cvhr_delta,lf_hf_ctx1,lf_hf_ctx2,lf_hf_ctx5,lf_hf_delta,hr_mean_ctx1,hr_mean_ctx2,hr_mean_ctx5,hr_mean_delta,edr_resp_ctx1,edr_resp_ctx2,edr_resp_ctx5,edr_resp_delta,rr_mean_z,rr_std_z,rmssd_z,p_cvhr_log_z,hr_mean_z,apnea,class_prefix
a01,0,N,67,0.9014925373134329,0.06030404880700185,0.7699999999999996,1.0199999999999996,0.25,0.06689356407399212,0.044466534914165926,0.24242424242424243,66.55629139072848,0.06968362191116216,-0.6283652967864777,0.07499999999999973,0.0,0.0,0.0007610071297092356,0.0007840296804829433,0.0,0.3214432530113169,0.3311677921442766,0.9706356119960127,-12.0,0.015625,0.40361166054202546,0.0,0.140625,0.023179487178224985,0.053138915089801106,0.06215739774444797,0.05823552259180087,0.002068526215200983,0.06083508944977191,0.0734433035565777,0.07118045963405338,-0.00428689556006126,0.04178174200480206,0.04174688387871097,0.03608698788111956,0.008379547033046365,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.4703157287182742,1.7330940317730843,2.2488457168225864,-1.2782101048265737,69.02239808670507,70.62008584001451,73.30330209877182,-6.747010708043348,0.3831505224840242,0.38606990335724234,0.4162204320191573,-0.012608771477131853,-1.3158044274769416,-1.4486677871996227,-1.6885862836589192,0.0,1.3650942983706387,0,a
a01,1,N,71,0.8392957746478873,0.045973781372600366,0.7000000000000028,0.9399999999999977,0.23999999999999488,0.054776614825551705,0.0390969490954382,0.15714285714285714,71.48850478268166,-0.4567153014487564,0.9240940719186357,0.05999999999998806,0.0,0.0,0.001224791979378773,0.0006217231271037965,0.0,0.36579237907895507,0.1856818019881677,1.9699958454405357,-12.0,0.03125,0.36268938442602294,0.0,0.0625,0.022757274494311874,0.06215739774444797,0.06181181630503466,0.05663619479757572,-0.010662413424975356,0.0734433035565777,0.07538482341214507,0.06923680452538596,-0.014460189699834251,0.04174688387871097,0.03860698899206938,0.035044320432740264,0.004052628662697934,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.7330940317730843,1.9620807104997682,2.2908013535926486,-0.32080550815211284,70.62008584001451,73.00849180610075,73.32239938885323,-1.8338946061715689,0.38606990335724234,0.3919674452758577,0.42377600240052976,-0.06108661797450682,-2.160890166685647,-1.770197172167988,-2.0272926622541307,0.0,2.407970165495534,0,a
a01,2,N,74,0.8128378378378377,0.08019436305374168,0.6699999999999875,0.9799999999999898,0.3100000000000023,0.09865973177018929,0.04167716762652879,0.1506849315068493,73.81546134663343,0.04508790780271092,-1.2899016420658933,0.14749999999997954,0.0,0.0,0.0011594026511374575,0.0005133165038598661,0.0,0.4006672041181802,0.17739228750898184,2.258650637882705,-12.0,0.03125,0.39190866510367867,0.0,0.0625,0.023872738853871804,0.0623144054710456,0.05862306327412457,0.054947142841456645,0.025247220212285038,0.0782152431915294,0.07185081199937433,0.06804773388907973,0.030611997881109562,0.0366538070180372,0.036782483030320286,0.032837627143278904,0.008839540483249884,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.29256241000102,2.125264803800698,2.3702478909584075,-0.11159725307570234,75.15922527789151,73.50613119322497,74.54421776993539,-0.7287564233019594,0.38808604018713505,0.4018597466900273,0.4298130109017793,-0.03790434579810065,-2.5203819493575454,-1.0023871761882013,-1.8645358865635577,0.0,2.8999859506098455,0,a
a01,3,N,80,0.748375,0.06077507198679475,0.6000000000000227,0.8499999999999943,0.24999999999997158,0.08120938297884717,0.029187304332144604,0.10126582278481013,80.17370970435944,-0.6381519461728224,-0.14917499259795575,0.07250000000001933,0.0,0.0,0.0011909713650155758,0.0004495858977855444,0.0,0.4086993311163712,0.15428200971221684,2.6490407466798187,-12.0,0.015625,0.4096600710317036,0.0,0.15625,0.024038489442819645,0.062279162063673545,0.05782181734876067,0.05631282586915016,0.0044622461176445916,0.07919462703244262,0.07203783874606565,0.07091141566740392,0.010297967311443251,0.033449643713999104,0.03441107847451028,0.031607424000656005,-0.002420119668511401,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.561897520522314,2.504487737787901,2.5117832690005035,0.13725747767931518,76.49528659757158,74.65270424038049,75.56385248800456,4.609857216354882,0.4143325628273627,0.4187421863145836,0.4339046318254025,-0.02424456079369891,-3.396257519580072,-1.438099401508433,-2.6523799602788154,0.0,4.244385156912859,0,a
a01,4,N,76,0.7947368421052632,0.04586805115048421,0.6899999999999977,0.9199999999999591,0.22999999999996135,0.05771476634829139,0.029484459183323906,0.08,75.49668874172185,0.26955998721652236,0.5615272129801849,0.0350000000000108,0.0,0.0,0.0011552356326187114,0.0004158513824268523,0.0,0.437086618719991,0.15733852861079306,2.7780011770044184,-12.0,0.015625,0.441428952346706,0.0,0.15625,0.024613291239640255,0.05431364743915376,0.058035106680685566,0.05700609860257193,-0.01113804745208772,0.06891761571152906,0.07259749055563156,0.07153314644253768,-0.01381838009424629,0.030427091883528143,0.03234935180391555,0.03236068778919643,-0.002876228605872524,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.764597401872088,2.6189956035423982,2.58928831732907,0.18871285967534845,75.98651835752912,75.04239990971249,75.32454040993584,0.17214833178601907,0.44637096068107224,0.44002619436713203,0.43543442729689846,0.00599452504980752,-2.7663255114257717,-1.772569449827508,-2.633635824898037,0.0,3.25546762549996,0,a
a01,5,N,72,0.8299999999999998,0.05629781918018233,0.6899999999999977,0.9499999999999886,0.2599999999999909,0.0678286978074486,0.03260951213511592,0.16901408450704225,72.28915662650604,-0.5767235979268273,0.3103006504573065,0.06999999999995055,0.0,0.0,0.0009665665688684685,0.0003371645490343537,0.0,0.4173604088260707,0.145586593369737,2.8667502819320267,-12.0,0.03125,0.48802385866480713,0.0,0.1875,0.03713378328906738,0.049735366120963805,0.050620989899661864,0.05779245600950616,-0.0014946368293238255,0.06103944600970712,0.06481039208858093,0.0719303990338202,-0.004101701226371601,0.030294095686968114,0.027492073102019666,0.033613437165790856,-0.0010039250306749375,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.729095544383156,2.752540206469601,2.5991873250692628,0.267562956862764,73.74094283252319,76.89869692788791,74.78268781355175,-2.493531187045704,0.4661874119000926,0.4560588754285015,0.4341290309657015,0.05389482769910564,-2.287194595616628,-1.538555889696652,-2.436511613841001,0.0,2.5772613983638757,0,a
a01,6,N,74,0.8170270270270276,0.047040228032224865,0.7199999999999704,0.9599999999999795,0.2400000000000091,0.05757487387338137,0.028788315742464512,0.0547945205479452,73.43698312934167,0.5216773471406261,0.4213446815473505,0.060000000000030695,0.0,0.0,0.0007880388710034381,0.0003099421697105214,0.0,0.4120629026356541,0.16206772888942017,2.542535174213023,-12.0,0.015625,0.4691094246887647,0.0,0.0625,0.049982076843445016,0.04882060878701011,0.05191363352044256,0.059610114507538364,-0.0125698864753135,0.06170927037192203,0.06733268947161099,0.07412646197117813,-0.016551588097796756,0.02626286733154327,0.02600777200752531,0.033998252631685814,-0.005209936889221303,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,2.778553036221256,2.9515453158010923,2.7371868474817878,-0.19465167326876465,76.27436206445275,77.60814103352762,74.91702650607681,-1.4800433767351393,0.4764017845880327,0.46745438106503834,0.44138513590559064,0.027724288783174067,-2.4634622015940053,-1.746269221057496,-2.6775476333309935,0.0,2.8199598512342625,0,a
a01,7,N,83,0.7220481927710838,0.04312377914862312,0.6499999999999773,0.839999999999975,0.18999999999999773,0.05972423943493612,0.017390774117049375,0.024390243902439025,83.0969464375105,0.33661035953561275,-0.3318860818835443,0.06499999999999773,0.0,0.0,0.000900144594739115,0.00030759728547924517,0.0,0.4058690959727273,0.1386935309180068,2.9263736525187176,-12.0,0.015625,0.4720720704105262,0.0,0.0625,0.04914158237423128,0.05246743242384874,0.055389133931019296,0.06125091958103985,-0.018127140432416727,0.07037332773410497,0.07121548088570101,0.07558767888746037,-0.015863439452524254,0.022648296239728905,0.02793889254807258,0.03666516730282312,-0.019274393185773744,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,3.0376583733563383,3.0533118308574414,2.7445248238362967,0.18184882868242092,80.08495326647007,77.1429496266467,74.45428882965597,8.642657607854531,0.46927303143789284,0.4690091079037696,0.4534368304782342,0.01863523993229199,-3.753967605998741,-1.8341429056603058,-3.396489499455639,0.0,4.862479468864152,0,a
a01,8,N,81,0.7166666666666676,0.06723829009069825,0.6299999999999955,0.8999999999999773,0.2699999999999818,0.09382086989399743,0.02176579885967283,0.05,83.72093023255803,0.7263601696021764,-0.14726859043450835,0.10000000000002274,0.0,0.0,0.0011023896227717904,0.00030251634585883014,0.0,0.4389474983926815,0.12045540931685439,3.6440662933372745,-12.0,0.015625,0.4666375992143878,0.0,0.0625,0.04914301993010394,0.05786920748089643,0.05726077611075251,0.06111674413431252,0.006121545956385727,0.07689127758255836,0.07283032631354038,0.07449857810309633,0.0193222917909011,0.02609887828759415,0.030645176307396417,0.03828809792758799,-0.016522299067915164,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,3.2857578993807195,3.0195972549652743,2.6927764286777363,0.9512898646595382,79.99620279246192,76.55795067128766,73.74998334047208,9.970946892085948,0.46263741872175873,0.45561934970155454,0.4626579625827261,0.003979636631661676,-3.827087986724615,-1.2930836471704685,-3.120518719424499,0.0,4.994415699034921,0,a
a01,9,N,73,0.8199999999999986,0.06324555320336793,0.6999999999999318,0.9900000000000091,0.2900000000000773,0.07712872341874151,0.03914006188606025,0.16666666666666666,73.1707317073172,0.564966088840963,0.1006156390398254,0.07999999999992724,0.0,0.0,0.0014295937158873603,0.0004349455495295948,0.0,0.46519307904209445,0.14153228092202258,3.286833752286166,-12.0,0.015625,0.44920258654036216,0.0,0.0625,0.049243604886545646,0.06537995779097151,0.06391238896137877,0.06319337964653247,5.2173556835455326e-05,0.08228417275312815,0.07952540281585,0.07566424559026656,0.0014644778284749471,0.0356822638924894,0.0346274141667056,0.04201013843190771,-0.0028700765458474636,-12.0,-12.0,-12.0,0.0,0.0,0.0,0.0,0.0,3.2096924826982107,3.0088162918294272,2.5740973709226846,0.7127363813634813,75.41860792986205,75.47735744712017,72.5953102894395,0.5754214178777062,0.44563841780282726,0.4584832277399628,0.4676752422482957,-0.01847265570793355,-2.4230675418908802,-1.3826690119656817,-2.0245731643867537,0.0,2.763663182669595,0,a
