"Name","LastWriteTime","Length"
"01_confusion_matrix_comparison.png","8/25/2026 1:26:23 PM","144629"
"01_false_positive_rates.png","8/25/2026 2:17:40 PM","118473"
"01_sensitivity_specificity.png","8/25/2026 2:17:40 PM","134377"
"03_accuracy_across_datasets.png","8/25/2026 2:17:41 PM","221794"
"03_balanced_accuracy_thresholds.png","8/25/2026 1:51:48 PM","144638"
"03_f1_thresholds.png","8/25/2026 1:51:48 PM","136304"
"03_false_positive_thresholds.png","8/25/2026 1:51:47 PM","147660"
"03_multidataset_metric_comparison.png","8/25/2026 2:17:41 PM","130666"
"03_roc_comparison.png","8/25/2026 1:51:46 PM","200469"
"03_threshold_tradeoff.png","8/25/2026 1:51:47 PM","226209"
"05_balanced_accuracy_comparison.png","8/25/2026 2:32:29 PM","122891"
"05_f1_comparison.png","8/25/2026 2:32:30 PM","91399"
"05_neural_network_roc_comparison.png","8/25/2026 2:32:29 PM","403602"
"05_sensitivity_specificity_comparison.png","8/25/2026 2:32:29 PM","142957"
